,constituents,symbol
1135,MIRM,^RUT
1136,MITK,^RUT
1137,MKFG,^RUT
1138,MKTW,^RUT
1139,ML,^RUT
1140,MLAB,^RUT
1141,MLI,^RUT
1142,MLKN,^RUT
1143,MLNK,^RUT
1144,MLR,^RUT
1145,MMI,^RUT
1146,MMS,^RUT
1147,MMSI,^RUT
1148,MN,^RUT
1149,MNKD,^RUT
1150,MNRL,^RUT
1151,MNRO,^RUT
1152,MNTK,^RUT
1153,MNTS,^RUT
1154,MNTV,^RUT
1155,MOD,^RUT
1156,MODN,^RUT
1157,MODV,^RUT
1158,MOFG,^RUT
1159,MOG.A,^RUT
1160,MORF,^RUT
1161,MOV,^RUT
1162,MPAA,^RUT
1163,MPB,^RUT
1164,MPLN,^RUT
1165,MPX,^RUT
1166,MQ,^RUT
1167,MRC,^RUT
1168,MRSN,^RUT
1169,MRTN,^RUT
1170,MSBI,^RUT
1171,MSEX,^RUT
1172,MSFUT,^RUT
1173,MSGE,^RUT
1174,MSTR,^RUT
1175,MTDR,^RUT
1176,MTH,^RUT
1177,MTRN,^RUT
1178,MTSI,^RUT
1179,MTTR,^RUT
1180,MTW,^RUT
1181,MTX,^RUT
1182,MULN,^RUT
1183,MUR,^RUT
1184,MUSA,^RUT
1185,MVBF,^RUT
1186,MVIS,^RUT
1187,MVST,^RUT
1188,MWA,^RUT
1189,MXCT,^RUT
1190,MXL,^RUT
